sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,end,is_recid
1,20,2,0,0,0,0,1,-1.0,1.0,3,9,0,0,9,0,519,-1
0,55,1,2,0,0,0,0,-2.0,2.0,7,0,1,0,0,1,652,-1
1,80,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,1110,-1
1,25,0,3,0,0,0,0,-1.0,1.0,3,6,2,0,4,2,846,-1
1,33,0,0,0,0,0,0,-1.0,1.0,3,1,1,0,1,1,480,-1
1,56,1,0,0,0,0,28,-69.0,69.0,3,6,2,0,3,1,320,-1
1,65,1,2,0,0,0,3,-1.0,1.0,2,1,1,0,1,1,52,-1
0,36,0,0,0,0,0,0,0.0,0.0,7,1,1,0,2,1,692,-1
1,28,0,2,0,0,0,2,-1.0,1.0,3,6,2,0,7,0,104,-1
1,59,1,2,0,0,0,4,-150.0,125.0,9,3,1,0,0,1,562,-1
1,33,0,2,0,0,0,3,0.0,0.0,8,2,1,0,2,1,1098,-1
1,31,0,0,0,0,0,1,-27.0,28.0,7,0,1,0,0,1,913,-1
1,24,2,0,0,0,0,0,-1.0,1.0,7,1,1,0,2,1,799,-1
1,30,0,0,0,2,2,11,-1.0,1.0,2,7,0,0,2,1,1066,-1
1,63,1,0,0,0,0,25,-1.0,1.0,3,8,0,0,3,1,783,-1
1,24,2,2,0,0,0,1,-36.0,37.0,8,3,1,0,3,1,763,-1
1,46,1,0,0,0,0,1,-11.0,12.0,3,2,1,0,1,1,535,-1
1,22,2,0,0,0,0,2,-1.0,1.0,3,4,2,0,4,2,563,-1
1,23,2,2,1,0,1,10,-67.0,67.0,3,9,0,0,6,2,891,-1
1,22,2,0,0,0,0,0,-1.0,1.0,7,3,1,0,5,2,925,-1
0,26,0,2,0,0,0,0,-1.0,1.0,3,2,1,0,2,1,667,-1
1,35,0,0,0,0,0,1,-1.0,1.0,3,3,1,0,2,1,1013,-1
1,34,0,0,0,0,1,14,-1.0,1.0,7,6,2,0,4,2,719,-1
1,49,1,2,0,0,0,4,-1.0,1.0,3,0,1,0,0,1,667,-1
1,20,2,0,1,0,0,1,-48.0,48.0,3,6,2,0,9,0,735,-1
1,43,0,2,0,0,0,6,-1.0,1.0,3,2,1,0,1,1,603,-1
1,26,0,0,0,0,0,5,-1.0,1.0,6,3,1,0,2,1,1101,-1
1,52,1,2,0,0,0,0,0.0,1.0,7,0,1,0,0,1,592,-1
1,22,2,0,0,0,0,4,-1.0,1.0,3,6,2,0,6,2,959,-1
0,56,1,2,0,0,0,3,-1.0,1.0,3,0,1,0,0,1,787,-1
1,32,0,0,2,1,0,9,-1.0,1.0,3,9,0,0,5,2,1110,-1
1,24,2,2,0,0,0,0,-1.0,1.0,3,3,1,0,4,2,836,-1
1,27,0,0,0,0,0,3,-1.0,1.0,3,3,1,0,2,1,1070,-1
1,20,2,0,0,1,0,1,-1.0,1.0,3,3,1,0,6,2,723,-1
0,33,0,0,0,0,0,0,-1.0,1.0,3,1,1,0,1,1,826,-1
1,31,0,0,0,0,0,4,-2.0,2.0,3,4,2,0,2,1,98,-1
1,31,0,0,0,0,0,4,-1.0,1.0,3,1,1,0,1,1,604,-1
1,29,0,0,0,0,0,4,-1.0,1.0,3,2,1,0,2,1,720,-1
1,61,1,2,0,0,0,4,-1.0,1.0,3,5,2,0,4,2,896,-1
1,37,0,2,0,0,0,5,-105.0,104.0,8,4,2,0,0,1,946,-1
0,27,0,0,0,0,0,1,126.0,380.0,3,5,2,0,2,1,294,-1
1,25,0,2,0,0,0,0,-1.0,1.0,7,1,1,0,2,1,69,-1
1,29,0,0,0,0,0,4,-76.0,76.0,3,4,2,0,5,2,287,-1
1,30,0,2,0,0,0,0,-2.0,2.0,7,2,1,0,0,1,525,-1
1,34,0,2,0,0,0,4,0.0,1.0,3,4,2,0,4,2,923,-1
1,44,0,2,0,0,0,1,-1.0,0.0,8,2,1,0,1,1,669,-1
1,30,0,0,0,0,0,1,0.0,1.0,6,6,2,0,7,0,1126,-1
1,23,2,0,1,1,2,4,-1.0,1.0,2,9,0,0,9,0,1145,-1
1,41,0,0,0,0,0,8,-1.0,1.0,3,3,1,0,1,1,1068,-1
1,25,0,2,0,0,0,2,-1.0,1.0,3,4,2,0,5,2,464,-1
0,33,0,0,0,0,0,0,0.0,0.0,3,2,1,0,1,1,834,-1
1,36,0,2,0,0,0,1,-1.0,1.0,3,5,2,0,2,1,481,-1
1,36,0,0,0,0,0,2,-4.0,4.0,7,1,1,0,1,1,1127,-1
1,55,1,2,0,0,0,0,0.0,0.0,7,0,1,0,0,1,819,-1
1,32,0,0,0,0,0,5,-1.0,1.0,7,3,1,0,3,1,189,-1
1,45,1,2,0,0,0,2,-1.0,1.0,3,2,1,0,3,1,1155,-1
0,46,1,0,0,0,0,0,-2.0,3.0,2,0,1,0,0,1,512,-1
1,23,2,0,0,0,1,1,-1.0,1.0,3,9,0,0,7,0,559,-1
1,22,2,0,1,0,0,2,-1.0,1.0,3,6,2,0,7,0,240,-1
1,27,0,0,0,0,0,3,-1.0,2.0,3,8,0,0,3,1,238,-1
1,25,0,3,0,0,0,0,-1.0,1.0,7,1,1,0,3,1,1046,-1
0,39,0,0,0,0,0,2,-1.0,1.0,2,6,2,0,2,1,584,-1
1,52,1,0,0,0,0,2,-30.0,30.0,3,0,1,0,0,1,648,-1
0,37,0,0,1,0,0,7,-1.0,1.0,1,2,1,0,0,1,1080,-1
1,29,0,5,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,472,-1
0,52,1,2,0,0,0,0,-1.0,1.0,7,2,1,0,0,1,838,-1
1,33,0,0,0,0,0,3,-1.0,1.0,3,1,1,0,1,1,345,-1
1,42,0,0,0,0,0,10,0.0,1.0,3,8,0,0,5,2,903,-1
1,32,0,0,0,0,0,0,-1.0,1.0,7,4,2,0,1,1,1120,-1
1,24,2,2,0,0,0,1,-5.0,5.0,3,5,2,0,3,1,850,-1
1,40,0,5,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,544,-1
1,50,1,0,0,0,0,11,0.0,0.0,3,8,0,0,5,2,935,-1
1,20,2,0,0,0,1,0,-1.0,1.0,3,4,2,0,6,2,110,-1
1,31,0,2,0,0,0,1,-36.0,36.0,1,0,1,0,0,1,528,-1
0,25,0,2,0,0,0,5,-3.0,4.0,3,6,2,0,3,1,85,-1
0,48,1,3,0,0,0,0,0.0,1.0,7,0,1,0,0,1,571,-1
0,54,1,2,0,0,0,1,-128.0,128.0,3,0,1,0,0,1,541,-1
0,33,0,2,0,0,0,2,-1.0,2.0,3,2,1,0,1,1,393,-1
1,27,0,2,0,0,0,0,0.0,1.0,7,0,1,0,1,1,460,-1
0,61,1,2,0,0,0,1,0.0,1.0,7,0,1,0,0,1,1161,-1
1,44,0,2,0,0,0,0,0.0,0.0,7,0,1,0,0,1,605,-1
1,20,2,0,0,0,0,0,-1.0,1.0,3,7,0,0,8,0,445,-1
0,42,0,2,0,0,0,0,-3.0,3.0,3,0,1,0,0,1,1004,-1
1,47,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,551,-1
0,58,1,2,0,0,0,0,0.0,1.0,7,0,1,0,0,1,621,-1
0,26,0,0,0,1,0,5,-1.0,1.0,7,4,2,0,2,1,122,-1
1,46,1,2,0,0,0,2,-14.0,14.0,2,1,1,0,0,1,1102,-1
1,31,0,3,0,0,0,0,0.0,0.0,8,1,1,0,1,1,552,-1
0,20,2,2,0,0,0,2,28.0,36.0,3,8,0,0,8,0,232,-1
1,24,2,3,0,0,0,1,-60.0,60.0,7,2,1,0,1,1,589,-1
1,30,0,0,0,0,0,1,0.0,0.0,7,6,2,0,3,1,56,-1
1,40,0,2,0,0,0,3,0.0,0.0,7,3,1,0,2,1,812,-1
1,33,0,0,0,0,0,4,0.0,1.0,3,5,2,0,1,1,53,-1
0,25,0,2,0,0,0,5,-3.0,4.0,3,6,2,0,3,1,630,-1
0,22,2,0,0,0,0,4,-1.0,1.0,2,8,0,0,6,2,692,-1
1,31,0,5,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,762,-1
1,43,0,3,0,0,0,1,-44.0,44.0,8,0,1,0,0,1,928,-1
0,24,2,0,0,0,0,1,-1.0,1.0,3,9,0,0,6,2,882,-1
0,38,0,5,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,820,-1
0,25,0,0,0,0,0,0,-1.0,1.0,7,2,1,0,2,1,1039,-1
1,45,1,2,0,0,0,0,-2.0,2.0,3,1,1,0,0,1,191,-1
1,23,2,0,0,0,0,0,-1.0,1.0,7,6,2,0,5,2,1057,-1
1,25,0,2,0,0,0,2,0.0,0.0,2,2,1,0,4,2,581,-1
1,48,1,2,0,0,0,0,0.0,0.0,7,0,1,0,0,1,471,-1
1,22,2,2,0,0,0,0,0.0,1.0,3,6,2,0,5,2,628,-1
1,63,1,0,0,0,0,3,-1.0,2302.0,8,8,0,0,0,1,1116,-1
1,34,0,0,0,0,0,3,0.0,1.0,3,7,0,0,5,2,458,-1
1,40,0,0,0,0,0,13,-1.0,1.0,3,8,0,0,2,1,595,-1
1,31,0,0,0,0,0,1,0.0,0.0,8,3,1,0,2,1,611,-1
0,52,1,2,0,0,0,6,-13.0,13.0,3,0,1,0,0,1,1144,-1
1,21,2,0,0,0,0,0,-1.0,1.0,3,5,2,0,5,2,743,-1
1,32,0,0,0,0,0,7,-1.0,1.0,3,0,1,0,0,1,739,-1
1,32,0,2,0,0,0,1,-1.0,1.0,3,2,1,0,1,1,866,-1
1,26,0,2,0,0,0,1,-1.0,1.0,2,5,2,0,2,1,452,-1
1,52,1,0,0,0,0,4,-161.0,2.0,3,5,2,0,0,1,502,-1
1,20,2,2,0,0,0,0,-1.0,1.0,3,3,1,0,6,2,959,-1
1,22,2,0,0,0,0,4,-1.0,1.0,3,5,2,0,6,2,566,-1
1,21,2,0,0,0,0,0,-1.0,1.0,2,7,0,0,7,0,1179,-1
0,36,0,0,0,0,0,1,-4.0,4.0,8,1,1,0,0,1,675,-1
1,30,0,0,0,0,0,1,-1.0,1.0,3,1,1,0,1,1,935,-1
1,22,2,2,0,0,0,0,-1.0,1.0,7,6,2,0,8,0,485,-1
1,26,0,2,0,0,0,1,-1.0,1.0,7,1,1,0,2,1,1079,-1
1,60,1,0,0,0,0,3,-1.0,1.0,7,0,1,0,0,1,838,-1
1,57,1,2,0,0,0,0,0.0,1.0,2,0,1,0,0,1,1063,-1
0,59,1,0,0,0,0,0,-1.0,1.0,7,1,1,0,0,1,1152,-1
1,40,0,0,0,0,0,9,0.0,1.0,3,5,2,0,1,1,527,-1
0,20,2,0,0,7,2,12,-1.0,1.0,3,9,0,0,9,0,760,-1
1,39,0,0,0,0,0,1,0.0,0.0,3,4,2,0,4,2,508,-1
0,29,0,0,0,0,0,0,0.0,1.0,2,1,1,0,1,1,562,-1
1,44,0,0,0,0,0,3,-1.0,1.0,3,6,2,0,1,1,299,-1
1,29,0,0,0,0,0,0,0.0,1.0,3,0,1,0,1,1,1167,-1
1,64,1,0,0,0,0,0,-1.0,1.0,3,3,1,0,0,1,958,-1
1,36,0,2,0,0,0,0,-3.0,3.0,8,0,1,0,0,1,550,-1
1,51,1,2,0,0,0,3,-1.0,1.0,3,5,2,0,2,1,497,-1
0,25,0,0,0,0,0,0,-1.0,1.0,7,1,1,0,2,1,930,-1
1,31,0,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1100,-1
1,27,0,0,0,0,0,5,-1.0,1.0,7,2,1,0,3,1,536,-1
1,26,0,0,0,0,0,2,607.0,1157.0,4,3,1,0,3,1,607,-1
1,36,0,0,0,0,0,9,0.0,1.0,8,7,0,0,1,1,363,-1
1,24,2,2,0,0,0,4,-1.0,1.0,7,7,0,0,3,1,1118,-1
0,43,0,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,1145,-1
0,26,0,2,0,0,0,0,-1.0,1.0,3,4,2,0,2,1,574,-1
1,26,0,0,0,0,0,2,-1.0,1.0,3,3,1,0,3,1,214,-1
1,19,2,2,0,0,0,0,-1.0,1.0,7,6,2,0,7,0,500,-1
0,54,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,496,-1
1,32,0,0,0,0,4,9,-1.0,1.0,2,8,0,0,6,2,772,-1
1,44,0,2,0,0,0,2,-1.0,1.0,7,0,1,0,0,1,473,-1
1,67,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1063,-1
1,28,0,0,0,0,0,0,0.0,1.0,2,4,2,0,2,1,895,-1
1,60,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,559,-1
1,37,0,5,0,0,0,0,-1.0,1.0,8,0,1,0,1,1,599,-1
0,44,0,0,0,0,0,0,0.0,1.0,7,0,1,0,0,1,612,-1
1,25,0,0,0,0,0,0,0.0,0.0,3,7,0,0,5,2,925,-1
1,26,0,0,0,0,0,2,-1.0,1.0,3,3,1,0,3,1,640,-1
0,30,0,0,0,1,0,4,-1.0,1.0,3,5,2,0,1,1,279,-1
1,46,1,2,0,0,0,0,0.0,0.0,7,0,1,0,0,1,600,-1
1,44,0,3,0,0,0,1,-1.0,1.0,7,0,1,0,0,1,649,-1
0,26,0,0,0,0,0,0,-1.0,1.0,3,3,1,0,2,1,647,-1
0,50,1,0,0,0,0,2,-32.0,32.0,3,1,1,0,0,1,1123,-1
1,27,0,2,0,0,0,3,-1.0,1.0,7,2,1,0,2,1,783,-1
1,27,0,2,0,0,0,0,-1.0,1.0,6,1,1,0,2,1,1081,-1
1,22,2,0,0,0,0,11,-1.0,1.0,3,7,0,0,5,2,367,-1
1,34,0,2,0,0,0,2,-1.0,1.0,9,1,1,0,1,1,1139,-1
0,39,0,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,688,-1
1,43,0,2,0,0,0,0,-1.0,1.0,1,0,1,0,0,1,974,-1
0,22,2,2,0,0,0,2,-22.0,22.0,7,4,2,0,4,2,900,-1
1,20,2,0,0,0,0,0,0.0,0.0,7,5,2,0,7,0,612,-1
0,28,0,0,0,0,0,3,-1.0,1.0,3,2,1,0,2,1,846,-1
1,51,1,0,0,0,0,3,-1.0,1.0,3,1,1,0,0,1,793,-1
0,49,1,0,0,0,0,12,-1.0,1.0,7,5,2,0,3,1,624,-1
1,67,1,1,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,955,-1
0,31,0,0,0,0,0,0,0.0,1.0,7,0,1,0,0,1,791,-1
1,26,0,0,0,0,0,0,0.0,0.0,7,3,1,0,3,1,921,-1
0,53,1,2,0,0,0,4,-62.0,52.0,3,7,0,0,0,1,459,-1
1,50,1,0,0,0,0,3,-1.0,1.0,7,2,1,0,1,1,1153,-1
1,20,2,0,0,0,1,2,-45.0,45.0,1,5,2,0,5,2,609,-1
1,30,0,2,0,0,0,2,-22.0,23.0,3,1,1,0,2,1,1127,-1
1,25,0,0,0,0,0,2,-1.0,1.0,3,4,2,0,2,1,1184,-1
1,32,0,0,0,0,1,8,-1.0,1.0,2,3,1,0,1,1,1152,-1
1,66,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,790,-1
0,35,0,2,0,0,0,4,-1.0,1.0,7,6,2,0,1,1,847,-1
1,26,0,2,0,0,0,0,-1.0,1.0,3,1,1,0,2,1,841,-1
1,24,2,0,0,0,0,1,-1.0,1.0,3,2,1,0,3,1,1176,-1
0,30,0,0,0,0,0,3,-1.0,1.0,3,1,1,0,1,1,810,-1
1,49,1,2,0,0,0,2,-1.0,1.0,7,1,1,0,0,1,468,-1
1,33,0,2,0,0,0,0,-1.0,1.0,3,0,1,0,1,1,765,-1
1,44,0,2,0,0,0,23,-1.0,1.0,3,7,0,0,4,2,476,-1
1,41,0,5,0,0,0,1,-1.0,1.0,7,1,1,0,0,1,606,-1
1,48,1,2,1,0,0,15,-360.0,0.0,3,7,0,0,1,1,644,-1
1,40,0,3,0,0,0,0,0.0,0.0,7,0,1,0,0,1,781,-1
1,26,0,2,0,0,0,5,-1.0,1.0,8,4,2,0,5,2,862,-1
1,21,2,0,0,1,2,1,-1.0,1.0,3,6,2,0,8,0,755,-1
1,28,0,2,0,1,0,9,-1.0,1.0,8,3,1,0,2,1,901,-1
1,23,2,2,0,0,0,1,-69.0,69.0,1,6,2,0,5,2,682,-1
1,25,0,0,0,0,0,0,-1.0,1.0,3,7,0,0,4,2,607,-1
0,39,0,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,747,-1
1,21,2,0,0,0,1,2,-1.0,1.0,3,9,0,0,8,0,725,-1
1,23,2,0,0,0,0,4,320.0,330.0,3,6,2,0,8,0,1121,-1
1,36,0,0,0,0,0,6,-32.0,32.0,2,7,0,0,6,2,378,-1
1,63,1,0,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,782,-1
0,32,0,0,0,0,0,0,-1.0,1.0,3,3,1,0,2,1,726,-1
0,20,2,2,0,0,0,0,-1.0,1.0,3,9,0,0,7,0,956,-1
1,20,2,2,0,0,1,0,-1.0,1.0,3,9,0,0,8,0,484,-1
1,21,2,2,0,0,0,2,-75.0,75.0,3,8,0,0,7,0,765,-1
1,42,0,0,0,0,0,10,-1.0,1.0,3,6,2,0,3,1,185,-1
1,35,0,0,0,0,0,1,0.0,1.0,9,3,1,0,1,1,1156,-1
1,38,0,0,0,0,0,4,0.0,1.0,3,2,1,0,1,1,785,-1
1,22,2,2,0,0,0,0,-1.0,1.0,3,2,1,0,4,2,782,-1
1,28,0,0,0,0,0,3,0.0,1.0,7,5,2,0,3,1,680,-1
1,26,0,3,0,0,0,0,-1.0,1.0,3,1,1,0,2,1,621,-1
1,29,0,0,0,1,0,16,-1.0,1.0,3,9,0,0,6,2,1087,-1
1,32,0,3,0,0,0,1,-1.0,1.0,3,6,2,0,2,1,567,-1
1,37,0,2,0,0,0,0,0.0,1.0,3,5,2,0,2,1,936,-1
1,49,1,2,0,0,0,0,-1.0,1.0,3,4,2,0,1,1,1142,-1
1,40,0,0,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,933,-1
1,41,0,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,969,-1
1,30,0,3,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,819,-1
1,28,0,2,0,0,0,0,-1.0,1.0,1,1,1,0,1,1,1083,-1
1,45,1,3,0,0,0,6,630.0,285.0,3,5,2,0,3,1,630,-1
1,35,0,2,0,0,0,1,-1.0,1.0,7,1,1,0,0,1,471,-1
1,29,0,2,0,0,0,1,-50.0,50.0,3,5,2,0,2,1,95,-1
0,26,0,2,0,0,0,2,-23.0,23.0,8,8,0,0,2,1,210,-1
1,40,0,5,0,0,0,1,0.0,0.0,3,0,1,0,0,1,914,-1
1,26,0,0,0,0,1,2,-7.0,7.0,3,2,1,0,2,1,1057,-1
1,27,0,0,0,0,0,2,-6.0,6.0,3,6,2,0,4,2,209,-1
0,28,0,2,0,0,0,0,-2.0,2.0,7,4,2,0,1,1,592,-1
1,50,1,0,1,0,0,5,29.0,169.0,3,1,1,0,0,1,468,-1
1,59,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1134,-1
1,20,2,2,0,0,0,1,-9.0,9.0,3,6,2,0,8,0,529,-1
0,33,0,2,0,0,0,0,-2.0,3.0,8,1,1,0,0,1,47,-1
1,37,0,0,0,0,0,12,-1.0,1.0,3,8,0,0,8,0,468,-1
1,33,0,5,0,0,0,0,-1.0,1.0,3,0,1,0,1,1,954,-1
1,25,0,0,0,0,0,3,-1.0,1.0,7,8,0,0,5,2,795,-1
1,55,1,5,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,604,-1
1,23,2,2,0,0,0,2,-20.0,21.0,3,5,2,0,6,2,820,-1
1,37,0,2,0,0,0,5,-1.0,1.0,3,2,1,0,0,1,851,-1
1,42,0,2,0,0,0,8,-1.0,1.0,3,3,1,0,3,1,671,-1
1,20,2,0,0,0,0,0,-1.0,1.0,3,7,0,0,8,0,627,-1
1,25,0,0,0,0,0,1,0.0,0.0,3,5,2,0,5,2,1160,-1
0,22,2,0,0,0,0,0,-1.0,1.0,3,2,1,0,3,1,700,-1
1,24,2,2,0,0,0,1,0.0,0.0,3,3,1,0,2,1,917,-1
1,51,1,0,0,0,0,3,-18.0,18.0,3,2,1,0,1,1,935,-1
0,33,0,0,0,0,0,3,-1.0,1.0,7,1,1,0,1,1,754,-1
1,67,1,3,0,0,0,2,67.0,176.0,3,0,1,0,0,1,928,-1
1,26,0,3,0,0,0,0,0.0,1.0,3,4,2,0,2,1,597,-1
0,28,0,0,0,0,0,3,-1.0,1.0,2,3,1,0,2,1,687,-1
1,21,2,2,0,1,0,6,-1.0,1.0,2,8,0,0,8,0,856,-1
1,46,1,0,0,0,0,3,-1.0,1.0,3,3,1,0,2,1,952,-1
1,29,0,2,0,0,0,3,-1.0,1.0,7,3,1,0,2,1,714,-1
1,35,0,2,0,0,0,2,-1.0,1.0,3,0,1,0,1,1,787,-1
1,27,0,5,0,0,0,0,-1.0,1.0,7,0,1,0,1,1,868,-1
1,30,0,0,0,0,0,1,-1.0,1.0,7,7,0,0,5,2,796,-1
1,31,0,5,0,0,0,1,0.0,0.0,7,0,1,0,0,1,856,-1
1,22,2,0,0,0,0,0,304.0,1.0,3,2,1,0,4,2,381,-1
1,24,2,3,0,0,0,0,-1.0,1.0,3,9,0,0,9,0,519,-1
0,21,2,2,1,0,0,1,-525.0,525.0,5,4,2,0,5,2,555,-1
1,52,1,3,0,0,0,2,-1.0,1.0,8,0,1,0,0,1,108,-1
0,26,0,0,0,0,0,0,-1.0,2.0,3,2,1,0,1,1,597,-1
0,51,1,0,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,632,-1
1,21,2,2,0,0,0,1,-1.0,1.0,2,2,1,0,4,2,308,-1
1,58,1,0,0,0,0,2,7.0,2835.0,7,7,0,0,1,1,404,-1
1,37,0,0,3,0,0,17,-1.0,1.0,3,9,0,0,3,1,608,-1
1,44,0,1,0,0,0,2,-372.0,372.0,2,1,1,0,0,1,582,-1
1,22,2,0,0,0,0,0,-1.0,1.0,3,3,1,0,4,2,1045,-1
1,56,1,2,0,0,0,1,-1.0,1.0,7,0,1,0,0,1,1153,-1
1,23,2,0,0,0,0,1,-2.0,2.0,3,1,1,0,3,1,837,-1
1,32,0,0,1,0,2,4,-1.0,435.0,2,9,0,0,8,0,974,-1
1,60,1,0,0,0,0,9,-22.0,22.0,3,1,1,0,3,1,34,-1
1,40,0,2,0,0,0,0,0.0,1.0,7,1,1,0,0,1,965,-1
1,21,2,0,0,0,0,0,-2.0,2.0,3,2,1,0,4,2,789,-1
1,21,2,0,1,0,1,2,-1.0,1.0,3,8,0,0,5,2,331,-1
0,20,2,0,0,0,0,0,-1.0,1.0,3,4,2,0,5,2,495,-1
1,37,0,3,0,0,0,1,-1.0,1.0,1,0,1,0,0,1,745,-1
1,21,2,2,0,0,0,2,-1.0,1.0,3,2,1,0,4,2,566,-1
1,69,1,0,0,0,0,3,0.0,0.0,7,0,1,0,1,1,968,-1
1,29,0,2,0,0,0,0,0.0,0.0,7,0,1,0,1,1,825,-1
1,51,1,2,0,0,0,1,-1.0,1.0,7,0,1,0,0,1,680,-1
1,50,1,2,0,0,0,2,0.0,1.0,3,2,1,0,5,2,1147,-1
1,35,0,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,703,-1
0,23,2,0,0,0,0,1,-6.0,6.0,3,2,1,0,3,1,1123,-1
0,61,1,2,0,0,0,2,-20.0,20.0,8,0,1,0,0,1,721,-1
1,41,0,0,4,0,0,17,-1.0,1.0,7,7,0,0,2,1,949,-1
1,28,0,3,0,0,0,1,-1.0,1.0,3,4,2,0,3,1,846,-1
1,36,0,0,0,0,0,5,-1.0,1.0,3,3,1,0,1,1,841,-1
0,21,2,2,0,0,0,2,34.0,62.0,7,4,2,0,5,2,517,-1
1,49,1,0,1,0,0,17,-1.0,2.0,3,6,2,0,1,1,481,-1
1,40,0,3,0,0,0,0,0.0,0.0,8,2,1,0,2,1,1155,-1
1,22,2,0,0,0,0,1,-1.0,1.0,3,4,2,0,6,2,69,-1
0,24,2,2,0,0,0,2,-1.0,1.0,3,6,2,0,4,2,170,-1
0,27,0,0,0,0,0,6,0.0,0.0,7,4,2,0,2,1,672,-1
1,44,0,0,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,914,-1
0,27,0,0,0,0,0,3,-1.0,1.0,3,6,2,0,3,1,637,-1
0,35,0,0,0,0,0,0,-1.0,1.0,7,1,1,0,0,1,830,-1
1,25,0,5,0,0,0,1,-1.0,1.0,2,4,2,0,2,1,1179,-1
1,21,2,0,0,0,0,2,-34.0,34.0,3,3,1,0,5,2,967,-1
1,30,0,0,0,0,0,2,-1.0,1.0,7,1,1,0,1,1,77,-1
1,60,1,3,0,0,0,0,-7.0,7.0,3,3,1,0,0,1,722,-1
1,24,2,2,0,0,0,0,-1.0,1.0,7,0,1,0,1,1,840,-1
1,31,0,0,0,0,0,0,-1.0,1.0,7,2,1,0,1,1,551,-1
1,49,1,2,0,0,0,1,-9.0,9.0,8,0,1,0,0,1,570,-1
1,44,0,2,0,0,0,1,-1.0,0.0,8,2,1,0,1,1,557,-1
1,49,1,0,0,0,0,1,-33.0,33.0,3,2,1,0,0,1,569,-1
0,30,0,0,0,0,0,3,-1.0,1.0,3,3,1,0,3,1,810,-1
1,62,1,2,0,0,0,6,-1.0,1.0,3,1,1,0,0,1,722,-1
1,30,0,3,0,0,0,0,0.0,0.0,2,1,1,0,1,1,1132,-1
1,24,2,0,0,0,0,1,-1.0,1.0,7,3,1,0,3,1,1151,-1
0,54,1,2,0,0,0,1,-22.0,22.0,7,1,1,0,0,1,1095,-1
1,45,1,0,0,0,0,13,104.0,356.0,3,6,2,0,5,2,458,-1
1,24,2,2,0,0,0,1,-37.0,37.0,3,2,1,0,2,1,654,-1
0,24,2,0,0,0,0,6,-1.0,1.0,8,5,2,0,6,2,1156,-1
1,29,0,5,0,0,0,1,-1.0,1.0,3,0,1,0,1,1,575,-1
1,56,1,0,0,0,0,3,-49.0,49.0,8,1,1,0,0,1,1050,-1
1,34,0,0,0,0,0,12,0.0,1.0,3,6,2,0,4,2,785,-1
1,24,2,0,0,0,0,0,-1.0,1.0,7,4,2,0,6,2,461,-1
1,33,0,0,0,3,1,21,-1.0,1.0,3,9,0,0,7,0,549,-1
1,21,2,0,0,0,0,0,-1.0,1.0,2,6,2,0,6,2,874,-1
1,22,2,2,0,0,0,0,-4.0,5.0,8,2,1,0,4,2,97,-1
0,35,0,0,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,752,-1
1,27,0,0,0,0,0,0,-1.0,1.0,2,4,2,0,3,1,777,-1
1,48,1,2,0,0,0,1,0.0,0.0,3,1,1,0,0,1,72,-1
0,43,0,0,0,0,0,3,43.0,58.0,3,8,0,0,1,1,43,-1
0,22,2,0,0,0,0,0,-2.0,2.0,3,6,2,0,4,2,1058,-1
1,21,2,0,0,0,0,0,-1.0,1.0,7,2,1,0,4,2,825,-1
1,40,0,5,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,523,-1
1,31,0,0,0,0,0,7,-1.0,1.0,7,5,2,0,4,2,586,-1
1,49,1,0,0,0,0,3,0.0,1.0,3,4,2,0,3,1,689,-1
1,30,0,0,0,0,0,2,-1.0,1.0,3,1,1,0,2,1,1171,-1
1,51,1,0,0,0,0,1,-78.0,78.0,3,0,1,0,0,1,93,-1
1,28,0,3,0,0,0,10,-1.0,1.0,3,8,0,0,4,2,78,-1
1,23,2,0,0,0,0,0,-1.0,1.0,3,3,1,0,5,2,1147,-1
